	ENSG	name	description
ENSG00000010318.20	ENSG00000010318	PHF7	PHD finger protein 7 [Source:HGNC Symbol;Acc:HGNC:18458]
ENSG00000010319.6	ENSG00000010319	SEMA3G	semaphorin 3G [Source:HGNC Symbol;Acc:HGNC:30400]
ENSG00000010322.15	ENSG00000010322	NISCH	nischarin [Source:HGNC Symbol;Acc:HGNC:18006]
ENSG00000010327.10	ENSG00000010327	STAB1	stabilin 1 [Source:HGNC Symbol;Acc:HGNC:18628]
ENSG00000010361.13	ENSG00000010361	FUZ	fuzzy planar cell polarity protein [Source:HGNC Symbol;Acc:HGNC:26219]
ENSG00000010404.17	ENSG00000010404	IDS	iduronate 2-sulfatase [Source:HGNC Symbol;Acc:HGNC:5389]
ENSG00000010539.11	ENSG00000010539	ZNF200	zinc finger protein 200 [Source:HGNC Symbol;Acc:HGNC:12993]
ENSG00000010610.9	ENSG00000010610	CD4	CD4 molecule [Source:HGNC Symbol;Acc:HGNC:1678]
ENSG00000010626.14	ENSG00000010626	LRRC23	leucine rich repeat containing 23 [Source:HGNC Symbol;Acc:HGNC:19138]
ENSG00000010671.15	ENSG00000010671	BTK	Bruton tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:1133]
ENSG00000010704.18	ENSG00000010704	HFE	homeostatic iron regulator [Source:HGNC Symbol;Acc:HGNC:4886]
ENSG00000010803.16	ENSG00000010803	SCMH1	Scm polycomb group protein homolog 1 [Source:HGNC Symbol;Acc:HGNC:19003]
ENSG00000010810.17	ENSG00000010810	FYN	FYN proto-oncogene, Src family tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:4037]
ENSG00000010818.8	ENSG00000010818	HIVEP2	HIVEP zinc finger 2 [Source:HGNC Symbol;Acc:HGNC:4921]
ENSG00000010932.15	ENSG00000010932	FMO1	flavin containing dimethylaniline monoxygenase 1 [Source:HGNC Symbol;Acc:HGNC:3769]
ENSG00000011007.12	ENSG00000011007	ELOA	elongin A [Source:HGNC Symbol;Acc:HGNC:11620]
ENSG00000011009.10	ENSG00000011009	LYPLA2	lysophospholipase 2 [Source:HGNC Symbol;Acc:HGNC:6738]
ENSG00000011021.21	ENSG00000011021	CLCN6	chloride voltage-gated channel 6 [Source:HGNC Symbol;Acc:HGNC:2024]
ENSG00000011028.13	ENSG00000011028	MRC2	mannose receptor C type 2 [Source:HGNC Symbol;Acc:HGNC:16875]
ENSG00000011052.21	ENSG00000011052	NME1-NME2	NME1-NME2 readthrough [Source:HGNC Symbol;Acc:HGNC:33531]
ENSG00000011105.11	ENSG00000011105	TSPAN9	tetraspanin 9 [Source:HGNC Symbol;Acc:HGNC:21640]
ENSG00000011114.14	ENSG00000011114	BTBD7	BTB domain containing 7 [Source:HGNC Symbol;Acc:HGNC:18269]
ENSG00000011132.11	ENSG00000011132	APBA3	amyloid beta precursor protein binding family A member 3 [Source:HGNC Symbol;Acc:HGNC:580]
ENSG00000011143.16	ENSG00000011143	MKS1	MKS transition zone complex subunit 1 [Source:HGNC Symbol;Acc:HGNC:7121]
ENSG00000011198.7	ENSG00000011198	ABHD5	abhydrolase domain containing 5, lysophosphatidic acid acyltransferase [Source:HGNC Symbol;Acc:HGNC:21396]
ENSG00000011201.11	ENSG00000011201	ANOS1	anosmin 1 [Source:HGNC Symbol;Acc:HGNC:6211]
ENSG00000011243.17	ENSG00000011243	AKAP8L	A-kinase anchoring protein 8 like [Source:HGNC Symbol;Acc:HGNC:29857]
ENSG00000011258.15	ENSG00000011258	MBTD1	mbt domain containing 1 [Source:HGNC Symbol;Acc:HGNC:19866]
ENSG00000011260.13	ENSG00000011260	UTP18	UTP18 small subunit processome component [Source:HGNC Symbol;Acc:HGNC:24274]
ENSG00000011275.18	ENSG00000011275	RNF216	ring finger protein 216 [Source:HGNC Symbol;Acc:HGNC:21698]
ENSG00000011295.15	ENSG00000011295	TTC19	tetratricopeptide repeat domain 19 [Source:HGNC Symbol;Acc:HGNC:26006]
ENSG00000011304.18	ENSG00000011304	PTBP1	polypyrimidine tract binding protein 1 [Source:HGNC Symbol;Acc:HGNC:9583]
ENSG00000011332.19	ENSG00000011332	DPF1	double PHD fingers 1 [Source:HGNC Symbol;Acc:HGNC:20225]
ENSG00000011347.9	ENSG00000011347	SYT7	synaptotagmin 7 [Source:HGNC Symbol;Acc:HGNC:11514]
ENSG00000011376.9	ENSG00000011376	LARS2	leucyl-tRNA synthetase 2, mitochondrial [Source:HGNC Symbol;Acc:HGNC:17095]
ENSG00000011405.13	ENSG00000011405	PIK3C2A	phosphatidylinositol-4-phosphate 3-kinase catalytic subunit type 2 alpha [Source:HGNC Symbol;Acc:HGNC:8971]
ENSG00000011422.11	ENSG00000011422	PLAUR	plasminogen activator, urokinase receptor [Source:HGNC Symbol;Acc:HGNC:9053]
ENSG00000011426.10	ENSG00000011426	ANLN	anillin actin binding protein [Source:HGNC Symbol;Acc:HGNC:14082]
ENSG00000011451.17	ENSG00000011451	WIZ	WIZ zinc finger [Source:HGNC Symbol;Acc:HGNC:30917]
ENSG00000011454.16	ENSG00000011454	RABGAP1	RAB GTPase activating protein 1 [Source:HGNC Symbol;Acc:HGNC:17155]
ENSG00000011465.16	ENSG00000011465	DCN	decorin [Source:HGNC Symbol;Acc:HGNC:2705]
ENSG00000011478.11	ENSG00000011478	QPCTL	glutaminyl-peptide cyclotransferase like [Source:HGNC Symbol;Acc:HGNC:25952]
ENSG00000011485.14	ENSG00000011485	PPP5C	protein phosphatase 5 catalytic subunit [Source:HGNC Symbol;Acc:HGNC:9322]
ENSG00000011523.13	ENSG00000011523	CEP68	centrosomal protein 68 [Source:HGNC Symbol;Acc:HGNC:29076]
ENSG00000011566.14	ENSG00000011566	MAP4K3	mitogen-activated protein kinase kinase kinase kinase 3 [Source:HGNC Symbol;Acc:HGNC:6865]
ENSG00000011600.11	ENSG00000011600	TYROBP	transmembrane immune signaling adaptor TYROBP [Source:HGNC Symbol;Acc:HGNC:12449]
ENSG00000011638.10	ENSG00000011638	TMEM159	transmembrane protein 159 [Source:HGNC Symbol;Acc:HGNC:30136]
ENSG00000012048.20	ENSG00000012048	BRCA1	BRCA1 DNA repair associated [Source:HGNC Symbol;Acc:HGNC:1100]
ENSG00000012061.15	ENSG00000012061	ERCC1	ERCC excision repair 1, endonuclease non-catalytic subunit [Source:HGNC Symbol;Acc:HGNC:3433]
ENSG00000012124.15	ENSG00000012124	CD22	CD22 molecule [Source:HGNC Symbol;Acc:HGNC:1643]
ENSG00000012171.18	ENSG00000012171	SEMA3B	semaphorin 3B [Source:HGNC Symbol;Acc:HGNC:10724]
ENSG00000012174.11	ENSG00000012174	MBTPS2	membrane bound transcription factor peptidase, site 2 [Source:HGNC Symbol;Acc:HGNC:15455]
ENSG00000012211.12	ENSG00000012211	PRICKLE3	prickle planar cell polarity protein 3 [Source:HGNC Symbol;Acc:HGNC:6645]
ENSG00000012232.8	ENSG00000012232	EXTL3	exostosin like glycosyltransferase 3 [Source:HGNC Symbol;Acc:HGNC:3518]
ENSG00000012660.13	ENSG00000012660	ELOVL5	ELOVL fatty acid elongase 5 [Source:HGNC Symbol;Acc:HGNC:21308]
ENSG00000012779.10	ENSG00000012779	ALOX5	arachidonate 5-lipoxygenase [Source:HGNC Symbol;Acc:HGNC:435]
ENSG00000012822.15	ENSG00000012822	CALCOCO1	calcium binding and coiled-coil domain 1 [Source:HGNC Symbol;Acc:HGNC:29306]
ENSG00000012963.14	ENSG00000012963	UBR7	ubiquitin protein ligase E3 component n-recognin 7 [Source:HGNC Symbol;Acc:HGNC:20344]
ENSG00000012983.11	ENSG00000012983	MAP4K5	mitogen-activated protein kinase kinase kinase kinase 5 [Source:HGNC Symbol;Acc:HGNC:6867]
ENSG00000013016.15	ENSG00000013016	EHD3	EH domain containing 3 [Source:HGNC Symbol;Acc:HGNC:3244]
ENSG00000013275.7	ENSG00000013275	PSMC4	proteasome 26S subunit, ATPase 4 [Source:HGNC Symbol;Acc:HGNC:9551]
ENSG00000013288.8	ENSG00000013288	MAN2B2	mannosidase alpha class 2B member 2 [Source:HGNC Symbol;Acc:HGNC:29623]
ENSG00000013297.10	ENSG00000013297	CLDN11	claudin 11 [Source:HGNC Symbol;Acc:HGNC:8514]
ENSG00000013306.15	ENSG00000013306	SLC25A39	solute carrier family 25 member 39 [Source:HGNC Symbol;Acc:HGNC:24279]
ENSG00000013364.18	ENSG00000013364	MVP	major vault protein [Source:HGNC Symbol;Acc:HGNC:7531]
ENSG00000013374.15	ENSG00000013374	NUB1	negative regulator of ubiquitin like proteins 1 [Source:HGNC Symbol;Acc:HGNC:17623]
ENSG00000013375.15	ENSG00000013375	PGM3	phosphoglucomutase 3 [Source:HGNC Symbol;Acc:HGNC:8907]
ENSG00000013392.7	ENSG00000013392	RWDD2A	RWD domain containing 2A [Source:HGNC Symbol;Acc:HGNC:21385]
ENSG00000013441.15	ENSG00000013441	CLK1	CDC like kinase 1 [Source:HGNC Symbol;Acc:HGNC:2068]
ENSG00000013503.9	ENSG00000013503	POLR3B	RNA polymerase III subunit B [Source:HGNC Symbol;Acc:HGNC:30348]
ENSG00000013523.9	ENSG00000013523	ANGEL1	angel homolog 1 [Source:HGNC Symbol;Acc:HGNC:19961]
ENSG00000013561.17	ENSG00000013561	RNF14	ring finger protein 14 [Source:HGNC Symbol;Acc:HGNC:10058]
ENSG00000013563.13	ENSG00000013563	DNASE1L1	deoxyribonuclease 1 like 1 [Source:HGNC Symbol;Acc:HGNC:2957]
ENSG00000013573.16	ENSG00000013573	DDX11	DEAD/H-box helicase 11 [Source:HGNC Symbol;Acc:HGNC:2736]
ENSG00000013583.8	ENSG00000013583	HEBP1	heme binding protein 1 [Source:HGNC Symbol;Acc:HGNC:17176]
ENSG00000013588.6	ENSG00000013588	GPRC5A	G protein-coupled receptor class C group 5 member A [Source:HGNC Symbol;Acc:HGNC:9836]
ENSG00000013619.13	ENSG00000013619	MAMLD1	mastermind like domain containing 1 [Source:HGNC Symbol;Acc:HGNC:2568]
ENSG00000013725.14	ENSG00000013725	CD6	CD6 molecule [Source:HGNC Symbol;Acc:HGNC:1691]
ENSG00000013810.18	ENSG00000013810	TACC3	transforming acidic coiled-coil containing protein 3 [Source:HGNC Symbol;Acc:HGNC:11524]
ENSG00000014123.9	ENSG00000014123	UFL1	UFM1 specific ligase 1 [Source:HGNC Symbol;Acc:HGNC:23039]
ENSG00000014138.8	ENSG00000014138	POLA2	DNA polymerase alpha 2, accessory subunit [Source:HGNC Symbol;Acc:HGNC:30073]
ENSG00000014164.6	ENSG00000014164	ZC3H3	zinc finger CCCH-type containing 3 [Source:HGNC Symbol;Acc:HGNC:28972]
ENSG00000014216.15	ENSG00000014216	CAPN1	calpain 1 [Source:HGNC Symbol;Acc:HGNC:1476]
ENSG00000014257.15	ENSG00000014257	ACP3	acid phosphatase 3 [Source:HGNC Symbol;Acc:HGNC:125]
ENSG00000014641.17	ENSG00000014641	MDH1	malate dehydrogenase 1 [Source:HGNC Symbol;Acc:HGNC:6970]
ENSG00000014824.13	ENSG00000014824	SLC30A9	solute carrier family 30 member 9 [Source:HGNC Symbol;Acc:HGNC:1329]
ENSG00000014914.19	ENSG00000014914	MTMR11	myotubularin related protein 11 [Source:HGNC Symbol;Acc:HGNC:24307]
ENSG00000014919.12	ENSG00000014919	COX15	cytochrome c oxidase assembly homolog COX15 [Source:HGNC Symbol;Acc:HGNC:2263]
ENSG00000015133.18	ENSG00000015133	CCDC88C	coiled-coil domain containing 88C [Source:HGNC Symbol;Acc:HGNC:19967]
ENSG00000015153.14	ENSG00000015153	YAF2	YY1 associated factor 2 [Source:HGNC Symbol;Acc:HGNC:17363]
ENSG00000015171.18	ENSG00000015171	ZMYND11	zinc finger MYND-type containing 11 [Source:HGNC Symbol;Acc:HGNC:16966]
ENSG00000015285.10	ENSG00000015285	WAS	WASP actin nucleation promoting factor [Source:HGNC Symbol;Acc:HGNC:12731]
ENSG00000015475.18	ENSG00000015475	BID	BH3 interacting domain death agonist [Source:HGNC Symbol;Acc:HGNC:1050]
ENSG00000015479.17	ENSG00000015479	MATR3	matrin 3 [Source:HGNC Symbol;Acc:HGNC:6912]
ENSG00000015532.9	ENSG00000015532	XYLT2	xylosyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:15517]
ENSG00000015568.12	ENSG00000015568	RGPD5	RANBP2 like and GRIP domain containing 5 [Source:HGNC Symbol;Acc:HGNC:32418]
ENSG00000015676.17	ENSG00000015676	NUDCD3	NudC domain containing 3 [Source:HGNC Symbol;Acc:HGNC:22208]
ENSG00000016391.10	ENSG00000016391	CHDH	choline dehydrogenase [Source:HGNC Symbol;Acc:HGNC:24288]
ENSG00000016864.17	ENSG00000016864	GLT8D1	glycosyltransferase 8 domain containing 1 [Source:HGNC Symbol;Acc:HGNC:24870]
ENSG00000017260.19	ENSG00000017260	ATP2C1	ATPase secretory pathway Ca2+ transporting 1 [Source:HGNC Symbol;Acc:HGNC:13211]
ENSG00000017427.15	ENSG00000017427	IGF1	insulin like growth factor 1 [Source:HGNC Symbol;Acc:HGNC:5464]
ENSG00000017483.14	ENSG00000017483	SLC38A5	solute carrier family 38 member 5 [Source:HGNC Symbol;Acc:HGNC:18070]
ENSG00000017797.11	ENSG00000017797	RALBP1	ralA binding protein 1 [Source:HGNC Symbol;Acc:HGNC:9841]
ENSG00000018189.12	ENSG00000018189	RUFY3	RUN and FYVE domain containing 3 [Source:HGNC Symbol;Acc:HGNC:30285]
ENSG00000018280.16	ENSG00000018280	SLC11A1	solute carrier family 11 member 1 [Source:HGNC Symbol;Acc:HGNC:10907]
ENSG00000018408.14	ENSG00000018408	WWTR1	WW domain containing transcription regulator 1 [Source:HGNC Symbol;Acc:HGNC:24042]
ENSG00000018510.13	ENSG00000018510	AGPS	alkylglycerone phosphate synthase [Source:HGNC Symbol;Acc:HGNC:327]
ENSG00000018610.13	ENSG00000018610	CXorf56	chromosome X open reading frame 56 [Source:HGNC Symbol;Acc:HGNC:26239]
ENSG00000018699.11	ENSG00000018699	TTC27	tetratricopeptide repeat domain 27 [Source:HGNC Symbol;Acc:HGNC:25986]
ENSG00000018869.16	ENSG00000018869	ZNF582	zinc finger protein 582 [Source:HGNC Symbol;Acc:HGNC:26421]
ENSG00000019144.17	ENSG00000019144	PHLDB1	pleckstrin homology like domain family B member 1 [Source:HGNC Symbol;Acc:HGNC:23697]
ENSG00000019485.12	ENSG00000019485	PRDM11	PR/SET domain 11 [Source:HGNC Symbol;Acc:HGNC:13996]
ENSG00000019549.8	ENSG00000019549	SNAI2	snail family transcriptional repressor 2 [Source:HGNC Symbol;Acc:HGNC:11094]
ENSG00000019582.14	ENSG00000019582	CD74	CD74 molecule [Source:HGNC Symbol;Acc:HGNC:1697]
ENSG00000019991.15	ENSG00000019991	HGF	hepatocyte growth factor [Source:HGNC Symbol;Acc:HGNC:4893]
ENSG00000019995.6	ENSG00000019995	ZRANB1	zinc finger RANBP2-type containing 1 [Source:HGNC Symbol;Acc:HGNC:18224]
ENSG00000020129.15	ENSG00000020129	NCDN	neurochondrin [Source:HGNC Symbol;Acc:HGNC:17597]
ENSG00000020181.17	ENSG00000020181	ADGRA2	adhesion G protein-coupled receptor A2 [Source:HGNC Symbol;Acc:HGNC:17849]
ENSG00000020256.19	ENSG00000020256	ZFP64	ZFP64 zinc finger protein [Source:HGNC Symbol;Acc:HGNC:15940]
ENSG00000020426.10	ENSG00000020426	MNAT1	MNAT1 component of CDK activating kinase [Source:HGNC Symbol;Acc:HGNC:7181]
ENSG00000020577.13	ENSG00000020577	SAMD4A	sterile alpha motif domain containing 4A [Source:HGNC Symbol;Acc:HGNC:23023]
ENSG00000020633.18	ENSG00000020633	RUNX3	RUNX family transcription factor 3 [Source:HGNC Symbol;Acc:HGNC:10473]
ENSG00000020922.12	ENSG00000020922	MRE11	MRE11 homolog, double strand break repair nuclease [Source:HGNC Symbol;Acc:HGNC:7230]
ENSG00000021300.13	ENSG00000021300	PLEKHB1	pleckstrin homology domain containing B1 [Source:HGNC Symbol;Acc:HGNC:19079]
ENSG00000021355.12	ENSG00000021355	SERPINB1	serpin family B member 1 [Source:HGNC Symbol;Acc:HGNC:3311]
ENSG00000021574.11	ENSG00000021574	SPAST	spastin [Source:HGNC Symbol;Acc:HGNC:11233]
ENSG00000021645.18	ENSG00000021645	NRXN3	neurexin 3 [Source:HGNC Symbol;Acc:HGNC:8010]
ENSG00000021762.19	ENSG00000021762	OSBPL5	oxysterol binding protein like 5 [Source:HGNC Symbol;Acc:HGNC:16392]
ENSG00000021776.10	ENSG00000021776	AQR	aquarius intron-binding spliceosomal factor [Source:HGNC Symbol;Acc:HGNC:29513]
ENSG00000021826.14	ENSG00000021826	CPS1	carbamoyl-phosphate synthase 1 [Source:HGNC Symbol;Acc:HGNC:2323]
ENSG00000022267.16	ENSG00000022267	FHL1	four and a half LIM domains 1 [Source:HGNC Symbol;Acc:HGNC:3702]
ENSG00000022277.12	ENSG00000022277	RTF2	replication termination factor 2 [Source:HGNC Symbol;Acc:HGNC:15890]
ENSG00000022556.15	ENSG00000022556	NLRP2	NLR family pyrin domain containing 2 [Source:HGNC Symbol;Acc:HGNC:22948]
ENSG00000022567.9	ENSG00000022567	SLC45A4	solute carrier family 45 member 4 [Source:HGNC Symbol;Acc:HGNC:29196]
ENSG00000022840.15	ENSG00000022840	RNF10	ring finger protein 10 [Source:HGNC Symbol;Acc:HGNC:10055]
ENSG00000022976.15	ENSG00000022976	ZNF839	zinc finger protein 839 [Source:HGNC Symbol;Acc:HGNC:20345]
ENSG00000023041.11	ENSG00000023041	ZDHHC6	zinc finger DHHC-type palmitoyltransferase 6 [Source:HGNC Symbol;Acc:HGNC:19160]
ENSG00000023171.15	ENSG00000023171	GRAMD1B	GRAM domain containing 1B [Source:HGNC Symbol;Acc:HGNC:29214]
ENSG00000023191.16	ENSG00000023191	RNH1	ribonuclease/angiogenin inhibitor 1 [Source:HGNC Symbol;Acc:HGNC:10074]
ENSG00000023228.13	ENSG00000023228	NDUFS1	NADH:ubiquinone oxidoreductase core subunit S1 [Source:HGNC Symbol;Acc:HGNC:7707]
ENSG00000023287.12	ENSG00000023287	RB1CC1	RB1 inducible coiled-coil 1 [Source:HGNC Symbol;Acc:HGNC:15574]
ENSG00000023318.7	ENSG00000023318	ERP44	endoplasmic reticulum protein 44 [Source:HGNC Symbol;Acc:HGNC:18311]
ENSG00000023330.14	ENSG00000023330	ALAS1	5'-aminolevulinate synthase 1 [Source:HGNC Symbol;Acc:HGNC:396]
ENSG00000023445.13	ENSG00000023445	BIRC3	baculoviral IAP repeat containing 3 [Source:HGNC Symbol;Acc:HGNC:591]
ENSG00000023516.8	ENSG00000023516	AKAP11	A-kinase anchoring protein 11 [Source:HGNC Symbol;Acc:HGNC:369]
ENSG00000023572.8	ENSG00000023572	GLRX2	glutaredoxin 2 [Source:HGNC Symbol;Acc:HGNC:16065]
ENSG00000023608.4	ENSG00000023608	SNAPC1	small nuclear RNA activating complex polypeptide 1 [Source:HGNC Symbol;Acc:HGNC:11134]
ENSG00000023697.12	ENSG00000023697	DERA	deoxyribose-phosphate aldolase [Source:HGNC Symbol;Acc:HGNC:24269]
ENSG00000023734.10	ENSG00000023734	STRAP	serine/threonine kinase receptor associated protein [Source:HGNC Symbol;Acc:HGNC:30796]
ENSG00000023839.10	ENSG00000023839	ABCC2	ATP binding cassette subfamily C member 2 [Source:HGNC Symbol;Acc:HGNC:53]
ENSG00000023892.10	ENSG00000023892	DEF6	DEF6 guanine nucleotide exchange factor [Source:HGNC Symbol;Acc:HGNC:2760]
ENSG00000023902.13	ENSG00000023902	PLEKHO1	pleckstrin homology domain containing O1 [Source:HGNC Symbol;Acc:HGNC:24310]
ENSG00000023909.9	ENSG00000023909	GCLM	glutamate-cysteine ligase modifier subunit [Source:HGNC Symbol;Acc:HGNC:4312]
ENSG00000024048.10	ENSG00000024048	UBR2	ubiquitin protein ligase E3 component n-recognin 2 [Source:HGNC Symbol;Acc:HGNC:21289]
ENSG00000024422.11	ENSG00000024422	EHD2	EH domain containing 2 [Source:HGNC Symbol;Acc:HGNC:3243]
ENSG00000024526.16	ENSG00000024526	DEPDC1	DEP domain containing 1 [Source:HGNC Symbol;Acc:HGNC:22949]
ENSG00000024862.17	ENSG00000024862	CCDC28A	coiled-coil domain containing 28A [Source:HGNC Symbol;Acc:HGNC:21098]
ENSG00000025039.14	ENSG00000025039	RRAGD	Ras related GTP binding D [Source:HGNC Symbol;Acc:HGNC:19903]
ENSG00000025156.12	ENSG00000025156	HSF2	heat shock transcription factor 2 [Source:HGNC Symbol;Acc:HGNC:5225]
ENSG00000025293.16	ENSG00000025293	PHF20	PHD finger protein 20 [Source:HGNC Symbol;Acc:HGNC:16098]
ENSG00000025423.11	ENSG00000025423	HSD17B6	hydroxysteroid 17-beta dehydrogenase 6 [Source:HGNC Symbol;Acc:HGNC:23316]
ENSG00000025434.18	ENSG00000025434	NR1H3	nuclear receptor subfamily 1 group H member 3 [Source:HGNC Symbol;Acc:HGNC:7966]
ENSG00000025708.13	ENSG00000025708	TYMP	thymidine phosphorylase [Source:HGNC Symbol;Acc:HGNC:3148]
ENSG00000025770.18	ENSG00000025770	NCAPH2	non-SMC condensin II complex subunit H2 [Source:HGNC Symbol;Acc:HGNC:25071]
ENSG00000025772.7	ENSG00000025772	TOMM34	translocase of outer mitochondrial membrane 34 [Source:HGNC Symbol;Acc:HGNC:15746]
ENSG00000025796.13	ENSG00000025796	SEC63	SEC63 homolog, protein translocation regulator [Source:HGNC Symbol;Acc:HGNC:21082]
ENSG00000025800.13	ENSG00000025800	KPNA6	karyopherin subunit alpha 6 [Source:HGNC Symbol;Acc:HGNC:6399]
ENSG00000026025.14	ENSG00000026025	VIM	vimentin [Source:HGNC Symbol;Acc:HGNC:12692]
ENSG00000026036.21	ENSG00000026036	RTEL1-TNFRSF6B	RTEL1-TNFRSF6B readthrough (NMD candidate) [Source:HGNC Symbol;Acc:HGNC:44095]
ENSG00000026103.20	ENSG00000026103	FAS	Fas cell surface death receptor [Source:HGNC Symbol;Acc:HGNC:11920]
ENSG00000026297.15	ENSG00000026297	RNASET2	ribonuclease T2 [Source:HGNC Symbol;Acc:HGNC:21686]
ENSG00000026508.16	ENSG00000026508	CD44	CD44 molecule (Indian blood group) [Source:HGNC Symbol;Acc:HGNC:1681]
ENSG00000026652.13	ENSG00000026652	AGPAT4	1-acylglycerol-3-phosphate O-acyltransferase 4 [Source:HGNC Symbol;Acc:HGNC:20885]
ENSG00000026751.16	ENSG00000026751	SLAMF7	SLAM family member 7 [Source:HGNC Symbol;Acc:HGNC:21394]
ENSG00000026950.16	ENSG00000026950	BTN3A1	butyrophilin subfamily 3 member A1 [Source:HGNC Symbol;Acc:HGNC:1138]
ENSG00000027001.9	ENSG00000027001	MIPEP	mitochondrial intermediate peptidase [Source:HGNC Symbol;Acc:HGNC:7104]
ENSG00000027075.13	ENSG00000027075	PRKCH	protein kinase C eta [Source:HGNC Symbol;Acc:HGNC:9403]
ENSG00000027697.13	ENSG00000027697	IFNGR1	interferon gamma receptor 1 [Source:HGNC Symbol;Acc:HGNC:5439]
ENSG00000027847.13	ENSG00000027847	B4GALT7	beta-1,4-galactosyltransferase 7 [Source:HGNC Symbol;Acc:HGNC:930]
ENSG00000027869.11	ENSG00000027869	SH2D2A	SH2 domain containing 2A [Source:HGNC Symbol;Acc:HGNC:10821]
ENSG00000028116.16	ENSG00000028116	VRK2	VRK serine/threonine kinase 2 [Source:HGNC Symbol;Acc:HGNC:12719]
ENSG00000028137.17	ENSG00000028137	TNFRSF1B	TNF receptor superfamily member 1B [Source:HGNC Symbol;Acc:HGNC:11917]
ENSG00000028203.17	ENSG00000028203	VEZT	vezatin, adherens junctions transmembrane protein [Source:HGNC Symbol;Acc:HGNC:18258]
ENSG00000028277.21	ENSG00000028277	POU2F2	POU class 2 homeobox 2 [Source:HGNC Symbol;Acc:HGNC:9213]
ENSG00000028310.17	ENSG00000028310	BRD9	bromodomain containing 9 [Source:HGNC Symbol;Acc:HGNC:25818]
ENSG00000028528.14	ENSG00000028528	SNX1	sorting nexin 1 [Source:HGNC Symbol;Acc:HGNC:11172]
ENSG00000028839.9	ENSG00000028839	TBPL1	TATA-box binding protein like 1 [Source:HGNC Symbol;Acc:HGNC:11589]
ENSG00000029153.14	ENSG00000029153	ARNTL2	aryl hydrocarbon receptor nuclear translocator like 2 [Source:HGNC Symbol;Acc:HGNC:18984]
ENSG00000029363.15	ENSG00000029363	BCLAF1	BCL2 associated transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:16863]
ENSG00000029364.11	ENSG00000029364	SLC39A9	solute carrier family 39 member 9 [Source:HGNC Symbol;Acc:HGNC:20182]
ENSG00000029639.10	ENSG00000029639	TFB1M	transcription factor B1, mitochondrial [Source:HGNC Symbol;Acc:HGNC:17037]
ENSG00000029725.16	ENSG00000029725	RABEP1	rabaptin, RAB GTPase binding effector protein 1 [Source:HGNC Symbol;Acc:HGNC:17677]
ENSG00000029993.14	ENSG00000029993	HMGB3	high mobility group box 3 [Source:HGNC Symbol;Acc:HGNC:5004]
ENSG00000030066.13	ENSG00000030066	NUP160	nucleoporin 160 [Source:HGNC Symbol;Acc:HGNC:18017]
ENSG00000030110.12	ENSG00000030110	BAK1	BCL2 antagonist/killer 1 [Source:HGNC Symbol;Acc:HGNC:949]
ENSG00000030419.16	ENSG00000030419	IKZF2	IKAROS family zinc finger 2 [Source:HGNC Symbol;Acc:HGNC:13177]
ENSG00000030582.16	ENSG00000030582	GRN	granulin precursor [Source:HGNC Symbol;Acc:HGNC:4601]
ENSG00000031003.10	ENSG00000031003	FAM13B	family with sequence similarity 13 member B [Source:HGNC Symbol;Acc:HGNC:1335]
ENSG00000031081.10	ENSG00000031081	ARHGAP31	Rho GTPase activating protein 31 [Source:HGNC Symbol;Acc:HGNC:29216]
ENSG00000031691.6	ENSG00000031691	CENPQ	centromere protein Q [Source:HGNC Symbol;Acc:HGNC:21347]
ENSG00000031698.12	ENSG00000031698	SARS1	seryl-tRNA synthetase 1 [Source:HGNC Symbol;Acc:HGNC:10537]
ENSG00000031823.14	ENSG00000031823	RANBP3	RAN binding protein 3 [Source:HGNC Symbol;Acc:HGNC:9850]
ENSG00000032219.18	ENSG00000032219	ARID4A	AT-rich interaction domain 4A [Source:HGNC Symbol;Acc:HGNC:9885]
ENSG00000032389.12	ENSG00000032389	EIPR1	EARP complex and GARP complex interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:12383]
ENSG00000032444.15	ENSG00000032444	PNPLA6	patatin like phospholipase domain containing 6 [Source:HGNC Symbol;Acc:HGNC:16268]
ENSG00000032742.17	ENSG00000032742	IFT88	intraflagellar transport 88 [Source:HGNC Symbol;Acc:HGNC:20606]
ENSG00000033011.11	ENSG00000033011	ALG1	ALG1 chitobiosyldiphosphodolichol beta-mannosyltransferase [Source:HGNC Symbol;Acc:HGNC:18294]
ENSG00000033030.13	ENSG00000033030	ZCCHC8	zinc finger CCHC-type containing 8 [Source:HGNC Symbol;Acc:HGNC:25265]
ENSG00000033050.7	ENSG00000033050	ABCF2	ATP binding cassette subfamily F member 2 [Source:HGNC Symbol;Acc:HGNC:71]
ENSG00000033100.15	ENSG00000033100	CHPF2	chondroitin polymerizing factor 2 [Source:HGNC Symbol;Acc:HGNC:29270]
ENSG00000033122.18	ENSG00000033122	LRRC7	leucine rich repeat containing 7 [Source:HGNC Symbol;Acc:HGNC:18531]
ENSG00000033170.16	ENSG00000033170	FUT8	fucosyltransferase 8 [Source:HGNC Symbol;Acc:HGNC:4019]
ENSG00000033178.12	ENSG00000033178	UBA6	ubiquitin like modifier activating enzyme 6 [Source:HGNC Symbol;Acc:HGNC:25581]
